customer_lifetime_value,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount
2763.519279,56274,4.248495242049359,32,5,0,1,5.955347993263144
6979.535903,0,4.553876891600541,13,42,0,8,7.032151894405436
12887.43165,48767,4.6913478822291435,18,38,0,2,6.341191844194962
7645.861827,0,4.672828834461906,18,65,0,7,6.274538538644444
2813.692575,43836,4.30406509320417,12,44,0,1,4.935415065666072
8256.2978,62902,4.248495242049359,14,94,0,2,5.077564966651304
5380.898636,55350,4.219507705176107,0,13,0,9,5.776413165691109
7216.100311,0,4.624972813284271,0,68,0,4,5.897235402774199
24127.50402,14072,4.276666119016055,13,3,0,2,6.238715173765425
7388.178085,28812,4.543294782270004,17,7,0,8,6.055677626232545
4738.992022,0,4.219507705176107,23,5,0,3,6.180844468269383
8197.197078,0,4.709530201312334,27,87,0,3,6.270988431858299
8798.797003,77026,4.709530201312334,9,82,2,3,6.159158255437541
8819.018934,99845,4.709530201312334,23,25,1,8,6.270988431858299
5384.431665,83689,4.2626798770413155,21,10,2,8,5.730551408248253
7463.139377,24599,4.174387269895637,12,50,1,2,3.782375967491893
2566.867823,25049,4.219507705176107,14,7,0,1,6.1208359508396954
3945.241604,28855,4.624972813284271,12,59,0,1,6.47457261040097
5710.333115,51148,4.290459441148391,9,1,0,7,5.736513147342761
8162.617053,66140,4.624972813284271,11,21,0,3,6.185797016568072
2872.051273,57749,4.31748811353631,31,21,0,1,5.875492370855561
3041.791561,13789,4.382026634673881,8,49,0,1,5.940697430054329
24127.50402,14072,4.276666119016055,13,3,0,2,6.238715173765425
2450.190996,0,4.30406509320417,4,44,3,1,6.319646735682724
2392.10789,17870,4.127134385045092,30,91,0,1,6.087229169092361
5802.065978,97541,4.290459441148391,22,1,0,3,5.9666210010027205
3946.372085,0,4.718498871295094,15,47,0,1,6.684861696423135
5346.916576,10511,4.941642422609304,33,64,0,1,6.248503022009241
12902.56014,86584,4.718498871295094,33,54,2,2,6.280021236970423
3235.360468,75690,4.394449154672439,17,44,1,1,5.953243334287785
2454.58354,23158,4.1588830833596715,4,6,1,1,5.778562258950746
18975.45611,65999,5.472270673671475,1,14,0,6,6.424751948981074
4715.321344,0,4.189654742026425,19,56,0,3,5.733829474861828
5018.885233,54500,4.1588830833596715,28,17,0,6,5.715052066914432
4932.916345,37260,4.143134726391533,19,42,0,8,2.799576321284202
5744.229745,68987,4.276666119016055,11,40,0,6,5.325325087449809
13891.73567,42305,4.770684624465665,10,62,0,2,6.332568896055757
7380.976717,65706,4.5217885770490405,19,86,0,8,6.081762185088762
3090.034104,0,4.51085950651685,7,79,0,1,6.47543271670409
2521.633095,53243,4.204692619390966,4,15,2,1,5.0651098997426685
2652.061785,0,4.2626798770413155,7,1,1,1,6.184805450612733
2771.045031,50071,4.276666119016055,3,32,0,1,2.991670786871788
3939.00637,60021,4.605170185988092,12,28,0,1,6.784312193547338
12231.87968,43244,4.6443908991413725,15,16,0,2,6.2053655170552595
2443.665166,92834,4.127134385045092,15,56,0,1,5.682899263739777
12819.10289,10105,5.153291594497779,5,4,3,3,0.4172309516365665
4468.510542,0,4.30406509320417,7,57,3,5,6.363314190199981
5514.344018,23218,4.276666119016055,7,10,0,4,6.106562737345867
3343.875326,0,4.532599493153256,11,77,0,1,6.274053830797926
2294.478927,0,4.143134726391533,11,56,0,1,5.749466788917228
36707.42639,24804,4.653960350157523,1,28,0,2,6.3882761346076435
33473.34946,33190,4.672828834461906,18,95,0,2,6.234018491942015
7983.431709,36014,4.248495242049359,4,40,3,2,5.164534925270581
4854.745666,29834,4.174387269895637,19,44,0,3,5.730748922886015
4293.997319,16701,4.736198448394496,20,26,0,1,6.724584536532082
7164.395543,46623,4.5217885770490405,1,53,0,3,6.081762185088762
7619.5158,64749,4.174387269895637,24,59,0,2,5.7155963815038024
3958.002823,0,4.624972813284271,29,12,0,1,6.185797016568072
4499.493252,16969,4.8283137373023015,34,47,2,1,6.55928672886597
4059.567414,11621,4.6913478822291435,4,98,0,1,6.252674299228648
4458.113369,17622,4.189654742026425,1,36,1,3,5.746203190540153
8110.333139,11489,4.663439094112067,4,50,0,6,6.22455842927536
3339.764873,0,4.553876891600541,20,53,0,1,6.761951544281788
24261.01777,66525,4.61512051684126,0,86,0,2,4.657111143096856
6613.973653,0,4.1588830833596715,21,28,0,2,6.518249365754862
2930.693543,33663,4.30406509320417,29,71,0,1,5.861925175752996
8672.194272,22547,4.727387818712341,7,60,0,3,6.288973180377498
11638.66926,61486,4.584967478670572,5,65,0,2,6.14474051019636
6846.150323,0,4.564348191467836,13,20,0,5,6.124683390894205
11727.77648,29879,4.634728988229636,17,0,0,2,6.217113427462893
22643.83478,93011,4.736198448394496,17,12,0,2,5.643505232912988
2614.474305,65186,4.189654742026425,29,27,0,1,1.8616749150124352
2451.752695,26840,4.174387269895637,1,47,2,1,5.730748922886015
6781.270203,0,4.653960350157523,30,3,1,5,6.89101556144512
4974.801539,75644,4.189654742026425,5,68,3,9,6.1501839984716
8591.604933,38984,4.30406509320417,27,38,0,2,5.861925175752996
5592.161392,71811,4.276666119016055,17,48,0,6,3.4023354005396307
8009.472833,20961,4.219507705176107,20,33,0,2,5.776413165691109
11318.08982,38923,4.605170185988092,6,83,2,2,4.759853740955028
58166.55351,61321,5.231108616854587,0,30,1,2,6.060596898867108
8025.229358,0,4.356708826689592,20,26,0,2,3.288688600142161
5780.182197,51066,4.31748811353631,23,0,0,8,6.670757845524788
4118.539113,34378,4.634728988229636,12,54,0,1,6.195629131824389
2523.07015,43072,4.1588830833596715,35,15,0,1,5.715052066914432
6554.216396,25222,4.51085950651685,28,69,0,3,6.166726348619461
7703.397294,36765,4.204692619390966,15,32,1,2,5.774082715163724
5926.729379,23091,4.574710978503383,28,90,5,5,6.135131896920395
2683.470677,48269,4.248495242049359,3,79,3,1,5.645981055308984
2695.182419,32720,4.219507705176107,13,12,0,1,5.776413165691109
6047.02516,20396,4.343805421853684,15,60,1,4,5.9020867359567655
13171.01282,21513,4.787491742782046,21,81,1,2,6.523309105227554
10656.88195,72540,4.48863636973214,7,3,0,2,6.450064398179418
2527.653796,80744,4.1588830833596715,24,84,0,1,2.555600950800265
2672.095756,52822,4.219507705176107,23,88,0,1,5.862292305279284
5313.294035,0,4.356708826689592,8,10,1,9,6.762029493193295
20946.19251,69738,4.31748811353631,2,26,1,2,6.200767826187717
8375.353929,17780,4.700480365792417,12,18,0,9,4.894762592589115
4801.661503,18107,4.143134726391533,29,11,0,8,5.69910488510509
5745.94334,57740,4.31748811353631,30,87,3,9,5.601768682097497
6066.115969,32627,4.343805421853684,11,60,0,7,5.9428956880737625
8002.308333,0,4.68213122712422,3,65,0,3,6.243389899847644
2393.915369,0,4.2626798770413155,24,10,0,1,6.055064287103397
4762.8179,65795,4.143134726391533,2,85,1,3,3.912244960794231
4330.38602,60475,4.68213122712422,9,18,0,1,6.243389899847644
9402.729769,0,4.875197323201151,28,88,0,4,6.842683282238422
6966.694527,41837,4.48863636973214,29,93,0,9,4.963283471018152
7694.064293,32303,4.189654742026425,13,34,0,2,3.831951585675755
8717.561149,0,4.770684624465665,5,89,1,3,6.332568896055757
5928.748528,40531,4.31748811353631,17,32,0,9,3.452123580344989
2452.977288,79898,4.143134726391533,5,86,1,1,5.608030460257346
6701.571657,56398,4.454347296253507,4,18,0,7,6.013715156042802
7556.24034,35257,4.59511985013459,16,2,1,8,6.155706990502031
8492.6988,27804,4.700480365792417,19,54,0,7,6.66670230712436
7713.494046,45506,4.204692619390966,16,32,2,2,5.761422254102616
24084.5352,65196,4.219507705176107,0,54,0,2,5.984142899138616
7290.069769,0,4.634728988229636,11,70,1,3,6.195629131824389
4772.943848,20993,4.897839799950911,35,90,0,1,6.460530236625741
6806.491395,37839,4.465908118654584,35,77,0,9,6.145545125906792
2469.781334,92711,4.143134726391533,24,10,0,1,5.911880463000578
3103.923041,74665,4.3694478524670215,10,90,2,1,5.471858828370639
2981.875575,0,4.430816798843313,26,89,0,1,6.369351323231421
8902.737595,46833,4.727387818712341,6,3,0,9,4.176072971379132
5499.447223,88768,4.23410650459726,17,77,0,7,5.791182664937034
15023.59858,28262,5.262690188904886,9,77,0,3,6.82719577112372
2509.107875,33555,4.1588830833596715,17,11,0,1,4.633723142730791
31221.7481,42780,4.736198448394496,10,27,1,2,6.297845696992248
3133.503432,58850,4.3694478524670215,20,26,0,1,4.974992876267889
